[14:50:26] ###LOG START###
[14:51:58] Kernel Time: 18.887009ms
[14:51:58] Kernel Time: 18.885183ms
[14:51:58] Kernel Time: 18.886751ms
[14:51:58] Kernel Time: 18.884640ms
[14:51:58] Kernel Time: 18.882240ms
[14:51:58] Kernel Time: 18.881439ms
[14:51:58] Kernel Time: 18.882273ms
[14:51:58] Kernel Time: 18.883680ms
[14:51:58] Kernel Time: 18.883007ms
[14:51:58] Kernel Time: 18.878656ms
[14:51:58] Kernel Time: 18.882401ms
[14:51:58] Kernel Time: 18.882721ms
[14:51:58] Kernel Time: 18.882816ms
[14:51:58] Kernel Time: 18.887457ms
[14:51:58] Kernel Time: 18.887199ms
[14:51:58] Kernel Time: 18.886272ms
[14:51:58] Kernel Time: 18.886240ms
[14:51:58] Kernel Time: 18.881439ms
[14:51:58] Kernel Time: 18.884031ms
[14:51:58] Kernel Time: 18.883455ms
[14:51:58] Kernel Time: 18.885824ms
[14:51:58] Kernel Time: 18.885984ms
[14:51:58] Kernel Time: 18.889664ms
[14:51:58] Kernel Time: 18.887552ms
[14:51:59] Kernel Time: 18.888161ms
[14:51:59] Kernel Time: 18.885792ms
[14:51:59] Kernel Time: 18.888416ms
[14:51:59] Kernel Time: 18.888960ms
[14:51:59] Kernel Time: 18.886496ms
[14:51:59] Kernel Time: 18.882849ms
[14:51:59] Kernel Time: 18.885311ms
[14:51:59] Kernel Time: 18.891712ms
[14:51:59] Kernel Time: 18.888927ms
[14:51:59] Kernel Time: 18.892448ms
[14:51:59] Kernel Time: 18.887072ms
[14:51:59] Kernel Time: 18.887585ms
[14:51:59] Kernel Time: 18.884224ms
[14:51:59] Kernel Time: 18.887520ms
[14:51:59] Kernel Time: 18.888321ms
[14:51:59] Kernel Time: 18.889153ms
[14:51:59] Kernel Time: 18.886751ms
[14:51:59] Kernel Time: 18.887297ms
[14:51:59] Kernel Time: 18.884865ms
[14:51:59] Kernel Time: 18.887232ms
[14:51:59] Kernel Time: 18.890112ms
[14:51:59] Kernel Time: 18.889824ms
[14:51:59] Kernel Time: 18.887264ms
[14:51:59] Kernel Time: 18.886593ms
[14:51:59] Kernel Time: 18.887936ms
[14:51:59] Kernel Time: 18.886816ms
[14:51:59] Kernel Time: 18.885792ms
[14:51:59] Kernel Time: 18.885632ms
[14:51:59] Kernel Time: 18.883968ms
[14:51:59] Kernel Time: 18.884224ms
[14:51:59] Kernel Time: 18.884417ms
[14:51:59] Kernel Time: 18.882689ms
[14:51:59] Kernel Time: 18.888063ms
[14:51:59] Kernel Time: 18.886175ms
[14:51:59] Kernel Time: 18.885984ms
[14:51:59] Kernel Time: 18.883520ms
[14:52:0] Kernel Time: 18.884512ms
[14:52:0] Kernel Time: 18.884993ms
[14:52:0] Kernel Time: 18.885471ms
[14:52:0] Kernel Time: 18.883265ms
[14:52:0] Kernel Time: 18.884993ms
[14:52:0] Kernel Time: 18.885792ms
[14:52:0] Kernel Time: 18.887775ms
[14:52:0] Kernel Time: 18.889952ms
[14:52:0] Kernel Time: 18.889759ms
[14:52:0] Kernel Time: 18.886816ms
[14:52:0] Kernel Time: 18.887585ms
[14:52:0] Kernel Time: 18.887360ms
[14:52:0] Kernel Time: 18.889313ms
[14:52:0] Kernel Time: 18.889601ms
[14:52:0] Kernel Time: 18.891392ms
[14:52:0] Kernel Time: 18.892832ms
[14:52:0] Kernel Time: 18.889631ms
[14:52:0] Kernel Time: 18.892128ms
[14:52:0] Kernel Time: 18.889503ms
[14:52:0] Kernel Time: 18.889729ms
[14:52:0] Kernel Time: 18.888609ms
[14:52:0] Kernel Time: 18.886400ms
[14:52:0] Kernel Time: 18.891136ms
[14:52:0] Kernel Time: 18.893503ms
[14:52:0] Kernel Time: 18.892832ms
[14:52:0] Kernel Time: 18.889343ms
[14:52:0] Kernel Time: 18.887873ms
[14:52:0] Kernel Time: 18.893824ms
[14:52:0] Kernel Time: 18.891264ms
[14:52:0] Kernel Time: 18.892704ms
[14:52:0] Kernel Time: 18.891359ms
[14:52:0] Kernel Time: 18.890623ms
[14:52:0] Kernel Time: 18.889120ms
[14:52:0] Kernel Time: 18.891199ms
[14:52:1] Kernel Time: 18.889376ms
[14:52:1] Kernel Time: 18.888577ms
[14:52:1] Kernel Time: 18.889376ms
[14:52:1] Kernel Time: 18.888672ms
